total_value,cash,positions,total_return,total_trades,win_rate,sharpe_ratio,max_drawdown,volatility,date
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8758907451569061,0.054932351600197646,0.1307116588687663,2023-08-29
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8738791477836136,0.054932351600197646,0.13049085472835867,2023-08-30
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8718769135195048,0.054932351600197646,0.13027116577210052,2023-08-31
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8698839646480545,0.054932351600197646,0.13005258264453784,2023-09-01
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8679002243625253,0.054932351600197646,0.12983509609972463,2023-09-04
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8659256167522674,0.054932351600197646,0.12961869699958065,2023-09-05
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8639600667892751,0.054932351600197646,0.12940337631227852,2023-09-06
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8620035003149866,0.054932351600197646,0.1291891251106609,2023-08-21
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8600558440273266,0.054932351600197646,0.12897593457068585,2023-08-22
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8581170254679817,0.054932351600197646,0.12876379596990073,2023-08-23
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8561869730099092,0.054932351600197646,0.12855270068594316,2023-08-24
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8542656158450713,0.054932351600197646,0.12834264019506947,2023-08-25
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8523528839723876,0.054932351600197646,0.1281336060707092,2023-08-28
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8504487081859077,0.054932351600197646,0.1279255899820451,2023-08-29
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8485530200631908,0.054932351600197646,0.12771858369261918,2023-08-30
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8466657519538989,0.054932351600197646,0.12751257905896277,2023-08-31
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8447868369685845,0.054932351600197646,0.12730756802925122,2023-09-01
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8429162089676846,0.054932351600197646,0.12710354264198206,2023-09-04
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8410538025507039,0.054932351600197646,0.12690049502467668,2023-09-05
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8391995530455914,0.054932351600197646,0.12669841739260432,2023-09-06
